Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Intermediate/4_Bootstrap_List_Box/BLB3_Select_item_in_right_and_move_to_left,Chrome 106.0.0.0,,,2022-10-12 09:46:12,2022-10-12 09:46:30,17.972s,PASSED
"TestID = ""TEST-00003""",Chrome 106.0.0.0,,,2022-10-12 09:46:12,2022-10-12 09:46:12,0.000s,PASSED
"FileTestData = ""TestData_Sheet5""",Chrome 106.0.0.0,,,2022-10-12 09:46:12,2022-10-12 09:46:12,0.000s,PASSED
totalRow = findTestData(FileTestData).getRowNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:46:12,2022-10-12 09:46:12,0.046s,PASSED
totalColumn = findTestData(FileTestData).getColumnNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:46:12,2022-10-12 09:46:12,0.046s,PASSED
rowNum = 1,Chrome 106.0.0.0,,,2022-10-12 09:46:12,2022-10-12 09:46:12,0.001s,PASSED
arrayLength = 0,Chrome 106.0.0.0,,,2022-10-12 09:46:12,2022-10-12 09:46:12,0.000s,PASSED
"for ([rowNum, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:46:12,2022-10-12 09:46:12,0.147s,PASSED
"println(""Row number is: "" + rowNum)",Chrome 106.0.0.0,,,2022-10-12 09:46:12,2022-10-12 09:46:12,0.000s,PASSED
"for ([i = 0, i < totalColumn - 1, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:46:12,2022-10-12 09:46:13,0.278s,PASSED
"println(""Array length is: "" + arrayLength)",Chrome 106.0.0.0,,,2022-10-12 09:46:13,2022-10-12 09:46:13,0.001s,PASSED
listData = [],Chrome 106.0.0.0,,,2022-10-12 09:46:13,2022-10-12 09:46:13,0.000s,PASSED
"for ([rowNum = 1, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:46:13,2022-10-12 09:46:14,0.874s,PASSED
