Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 106.0.0.0,,,2022-10-12 09:37:35,2022-10-12 09:37:36,1.092s,PASSED
,,,,,,,
Test Cases/Intermediate/5_JQuery_List_Box/JQLB3_Select_multiple_items_and_click_Add,Chrome 106.0.0.0,,,2022-10-12 09:37:36,2022-10-12 09:37:57,21.174s,PASSED
"TestID = ""TEST-00003""",Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.000s,PASSED
"FileTestData = ""TestData_Sheet6""",Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.001s,PASSED
totalRow = findTestData(FileTestData).getRowNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.060s,PASSED
totalColumn = findTestData(FileTestData).getColumnNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.054s,PASSED
rowNum = 1,Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.000s,PASSED
arrayLength = 0,Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.000s,PASSED
"for ([rowNum, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.293s,PASSED
"println(""Row number is: "" + rowNum)",Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.000s,PASSED
"for ([i = 0, i < totalColumn - 1, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.280s,PASSED
"println(""Array length is: "" + arrayLength)",Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.000s,PASSED
listData = [],Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:37,0.001s,PASSED
"for ([rowNum = 1, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:37:37,2022-10-12 09:37:38,1.126s,PASSED
println(listData),Chrome 106.0.0.0,,,2022-10-12 09:37:38,2022-10-12 09:37:38,0.000s,PASSED
"callTestCase(findTestCase(""Intermediate/Prerequisite1_Access_Immediate""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-12 09:37:38,2022-10-12 09:37:47,8.552s,PASSED
"click(findTestObject(""Intermediate/option_JQueryListBox""))",Chrome 106.0.0.0,,,2022-10-12 09:37:47,2022-10-12 09:37:48,0.867s,PASSED
driver = getWebDriver(),Chrome 106.0.0.0,,,2022-10-12 09:37:48,2022-10-12 09:37:48,0.000s,PASSED
actionPress = new org.openqa.selenium.interactions.Actions(driver),Chrome 106.0.0.0,,,2022-10-12 09:37:48,2022-10-12 09:37:48,0.017s,PASSED
actionPress.keyDown(CONTROL),Chrome 106.0.0.0,,,2022-10-12 09:37:48,2022-10-12 09:37:48,0.027s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:37:48,2022-10-12 09:37:50,1.677s,PASSED
actionPress.keyUp(CONTROL),Chrome 106.0.0.0,,,2022-10-12 09:37:50,2022-10-12 09:37:50,0.002s,PASSED
"click(findTestObject(""Intermediate/5_JQuery_List_Box/button_Add""))",Chrome 106.0.0.0,,,2022-10-12 09:37:50,2022-10-12 09:37:50,0.381s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:37:50,2022-10-12 09:37:53,3.025s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-12 09:37:53,2022-10-12 09:37:56,3.016s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-12 09:37:56,2022-10-12 09:37:57,1.139s,PASSED
,,,,,,,
Test Cases/Intermediate/5_JQuery_List_Box/JQLB4_select_all_and_click_Add_All,Chrome 106.0.0.0,,,2022-10-12 09:37:57,2022-10-12 09:38:36,39.029s,PASSED
"TestID = ""TEST-00004""",Chrome 106.0.0.0,,,2022-10-12 09:37:58,2022-10-12 09:37:58,0.001s,PASSED
"FileTestData = ""TestData_Sheet6""",Chrome 106.0.0.0,,,2022-10-12 09:37:58,2022-10-12 09:37:58,0.000s,PASSED
totalRow = findTestData(FileTestData).getRowNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:37:58,2022-10-12 09:37:58,0.048s,PASSED
totalColumn = findTestData(FileTestData).getColumnNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:37:58,2022-10-12 09:37:58,0.049s,PASSED
rowNum = 1,Chrome 106.0.0.0,,,2022-10-12 09:37:58,2022-10-12 09:37:58,0.000s,PASSED
arrayLength = 0,Chrome 106.0.0.0,,,2022-10-12 09:37:58,2022-10-12 09:37:58,0.000s,PASSED
"for ([rowNum, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:37:58,2022-10-12 09:37:58,0.201s,PASSED
"println(""Row number is: "" + rowNum)",Chrome 106.0.0.0,,,2022-10-12 09:37:58,2022-10-12 09:37:58,0.000s,PASSED
"for ([i = 0, i < totalColumn - 1, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:37:58,2022-10-12 09:37:59,0.766s,PASSED
"println(""Array length is: "" + arrayLength)",Chrome 106.0.0.0,,,2022-10-12 09:37:59,2022-10-12 09:37:59,0.000s,PASSED
listData = [],Chrome 106.0.0.0,,,2022-10-12 09:37:59,2022-10-12 09:37:59,0.000s,PASSED
"for ([rowNum = 1, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:37:59,2022-10-12 09:38:01,1.918s,PASSED
println(listData),Chrome 106.0.0.0,,,2022-10-12 09:38:01,2022-10-12 09:38:01,0.000s,PASSED
"callTestCase(findTestCase(""Intermediate/Prerequisite1_Access_Immediate""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-12 09:38:01,2022-10-12 09:38:08,7.247s,PASSED
"click(findTestObject(""Intermediate/option_JQueryListBox""))",Chrome 106.0.0.0,,,2022-10-12 09:38:08,2022-10-12 09:38:10,1.906s,PASSED
driver = getWebDriver(),Chrome 106.0.0.0,,,2022-10-12 09:38:10,2022-10-12 09:38:10,0.002s,PASSED
actionPress = new org.openqa.selenium.interactions.Actions(driver),Chrome 106.0.0.0,,,2022-10-12 09:38:10,2022-10-12 09:38:10,0.002s,PASSED
actionPress.keyDown(CONTROL),Chrome 106.0.0.0,,,2022-10-12 09:38:10,2022-10-12 09:38:10,0.001s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:38:10,2022-10-12 09:38:16,6.035s,PASSED
delay(5),Chrome 106.0.0.0,,,2022-10-12 09:38:16,2022-10-12 09:38:21,5.013s,PASSED
actionPress.keyUp(CONTROL),Chrome 106.0.0.0,,,2022-10-12 09:38:21,2022-10-12 09:38:21,0.000s,PASSED
"click(findTestObject(""Intermediate/5_JQuery_List_Box/button_Add""))",Chrome 106.0.0.0,,,2022-10-12 09:38:21,2022-10-12 09:38:21,0.370s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:38:21,2022-10-12 09:38:32,10.881s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-12 09:38:32,2022-10-12 09:38:35,3.014s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-12 09:38:35,2022-10-12 09:38:36,1.119s,PASSED
,,,,,,,
Test Cases/Intermediate/5_JQuery_List_Box/JQLB5_click_Add_All,Chrome 106.0.0.0,,,2022-10-12 09:38:36,2022-10-12 09:39:02,25.945s,PASSED
"TestID = ""TEST-00004""",Chrome 106.0.0.0,,,2022-10-12 09:38:37,2022-10-12 09:38:37,0.000s,PASSED
"FileTestData = ""TestData_Sheet6""",Chrome 106.0.0.0,,,2022-10-12 09:38:37,2022-10-12 09:38:37,0.000s,PASSED
totalRow = findTestData(FileTestData).getRowNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:38:37,2022-10-12 09:38:37,0.049s,PASSED
totalColumn = findTestData(FileTestData).getColumnNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:38:37,2022-10-12 09:38:37,0.050s,PASSED
rowNum = 1,Chrome 106.0.0.0,,,2022-10-12 09:38:37,2022-10-12 09:38:37,0.000s,PASSED
arrayLength = 0,Chrome 106.0.0.0,,,2022-10-12 09:38:37,2022-10-12 09:38:37,0.000s,PASSED
"for ([rowNum, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:38:37,2022-10-12 09:38:37,0.230s,PASSED
"println(""Row number is: "" + rowNum)",Chrome 106.0.0.0,,,2022-10-12 09:38:37,2022-10-12 09:38:37,0.000s,PASSED
"for ([i = 0, i < totalColumn - 1, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:38:37,2022-10-12 09:38:38,0.783s,PASSED
"println(""Array length is: "" + arrayLength)",Chrome 106.0.0.0,,,2022-10-12 09:38:38,2022-10-12 09:38:38,0.000s,PASSED
listData = [],Chrome 106.0.0.0,,,2022-10-12 09:38:38,2022-10-12 09:38:38,0.001s,PASSED
"for ([rowNum = 1, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:38:38,2022-10-12 09:38:40,2.001s,PASSED
println(listData),Chrome 106.0.0.0,,,2022-10-12 09:38:40,2022-10-12 09:38:40,0.000s,PASSED
